#WL	ARC14
1935	90.0089
1936	89.9098
1937	89.8103
1938	89.7103
1939	89.61
1940	89.5092
1941	89.4081
1942	89.3065
1943	89.2046
1944	89.1023
1945	88.9995
1946	88.8964
1947	88.793
1948	88.6891
1949	88.5849
1950	88.4803
1951	88.3751
1952	88.2695
1953	88.1636
1954	88.0573
1955	87.9507
1956	87.8437
1957	87.7364
1958	87.6288
1959	87.5208
1960	87.4125
1961	87.3039
1962	87.1949
1963	87.0856
1964	86.9761
1965	86.8662
1966	86.756
1967	86.6455
1968	86.5347
1969	86.4236
1970	86.3123
1971	86.2006
1972	86.0887
1973	85.9765
1974	85.864
1975	85.7513
1976	85.6383
1977	85.525
1978	85.4115
1979	85.2977
1980	85.1837
1981	85.0695
1982	84.955
1983	84.8403
1984	84.7253
1985	84.6102
1986	84.4948
1987	84.3792
1988	84.2633
1989	84.1473
1990	84.0311
1991	83.9147
1992	83.798
1993	83.6812
1994	83.5642
1995	83.447
1996	83.3297
1997	83.2121
1998	83.0944
1999	82.9766
2000	82.8585
2001	82.7406
2002	82.6226
2003	82.5044
2004	82.3861
2005	82.2676
2006	82.149
2007	82.0302
2008	81.9114
2009	81.7924
2010	81.6733
2011	81.554
2012	81.4347
2013	81.3153
2014	81.1957
2015	81.0761
2016	80.9563
2017	80.8365
2018	80.7165
2019	80.5965
2020	80.4764
2021	80.3563
2022	80.236
2023	80.1157
2024	79.9953
2025	79.8749
2026	79.7544
2027	79.6339
2028	79.5133
2029	79.3926
2030	79.2719
2031	79.1512
2032	79.0304
2033	78.9097
2034	78.7888
2035	78.668
2036	78.5471
2037	78.4262
2038	78.3053
2039	78.1844
2040	78.0635
2041	77.9426
2042	77.8217
2043	77.7009
2044	77.58
2045	77.4591
2046	77.3382
2047	77.2174
2048	77.0966
2049	76.9758
2050	76.855
2051	76.734
2052	76.6129
2053	76.4919
2054	76.371
2055	76.2501
2056	76.1292
2057	76.0084
2058	75.8876
2059	75.7669
2060	75.6463
2061	75.5257
2062	75.4051
2063	75.2847
2064	75.1643
2065	75.044
2066	74.9237
2067	74.8035
2068	74.6835
2069	74.5635
2070	74.4435
2071	74.3237
2072	74.204
2073	74.0844
2074	73.9648
2075	73.8454
2076	73.7261
2077	73.6068
2078	73.4877
2079	73.3687
2080	73.2498
2081	73.131
2082	73.0124
2083	72.8939
2084	72.7754
2085	72.6572
2086	72.539
2087	72.421
2088	72.3031
2089	72.1854
2090	72.0677
2091	71.9503
2092	71.8329
2093	71.7158
2094	71.5987
2095	71.4819
2096	71.3651
2097	71.2485
2098	71.1321
2099	71.0159
2100	70.8998
2101	70.7836
2102	70.6676
2103	70.5517
2104	70.436
2105	70.3205
2106	70.2052
2107	70.09
2108	69.975
2109	69.8602
2110	69.7456
2111	69.6311
2112	69.5169
2113	69.4028
2114	69.2889
2115	69.1752
2116	69.0617
2117	68.9484
2118	68.8353
2119	68.7223
2120	68.6096
2121	68.4971
2122	68.3848
2123	68.2727
2124	68.1607
2125	68.049
2126	67.9375
2127	67.8262
2128	67.7151
2129	67.6043
2130	67.4936
2131	67.3832
2132	67.2729
2133	67.1629
2134	67.0531
2135	66.9436
2136	66.8342
2137	66.7251
2138	66.6162
2139	66.5075
2140	66.3991
2141	66.2679
2142	66.137
2143	66.0064
2144	65.876
2145	65.746
2146	65.6044
2147	65.4631
2148	65.3222
2149	61.8574
2150	61.9647
2151	62.0572
2152	62.2749
2153	62.4782
2154	62.6983
2155	62.9196
2156	63.1422
2157	63.3502
2158	61.9692
2159	61.8707
2160	60.8194
2161	60.6924
2162	60.5657
2163	60.4394
2164	60.3134
2165	60.1877
2166	60.0624
2167	59.9374
2168	59.8127
2169	59.6884
2170	59.5645
2171	59.3197
2172	59.0761
2173	58.8336
2174	58.5922
2175	58.3519
2176	58.1128
2177	57.8747
2178	57.6377
2179	57.4017
2180	57.1669
2181	56.7872
2182	56.4103
2183	56.0362
2184	55.6648
